"","SimNumber","beta","betap","gamma","gammap","vaxrate","ini_recovered","ini_infected","nu","mu","tdom"
"291",91,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.64714233590517
"292",92,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.87683719697268
"293",93,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.63088498334249
"294",94,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.92174586835213
"295",95,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.79111984471506
"296",96,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.60512018700565
"297",97,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",10.1078733961851
"298",98,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.53317996689968
"299",99,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.70103770790306
"300",100,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",10.2320100264909
"301",1,"1.4","1.5","0.7","0.7","0","0.01","0.01","0","0",10.9348069501559
"302",2,"1.4","1.5","0.7","0.7","0","0.01","0.01","0","0",11.2772194142554
"303",3,"1.4","1.5","0.7","0.7","0","0.01","0.01","0","0",10.260275557223
"304",4,"1.4","1.5","0.7","0.7","0","0.01","0.01","0","0",10.2737382559947
"305",5,"1.4","1.5","0.7","0.7","0","0.01","0.01","0","0",10.8363180422553
"306",6,"1.4","1.5","0.7","0.7","0","0.01","0.01","0","0",9.70376941361158
"307",7,"1.4","1.5","0.7","0.7","0","0.01","0.01","0","0",10.2676598141194
"308",8,"1.4","1.5","0.7","0.7","0","0.01","0.01","0","0",10.8496187229747
"309",9,"1.4","1.5","0.7","0.7","0","0.01","0.01","0","0",9.15950465265691
"310",10,"1.4","1.5","0.7","0.7","0","0.01","0.01","0","0",9.39289730836704
"311",11,"1.4","1.5","0.7","0.7","0","0.01","0.01","0","0",9.83155476841651
"312",12,"1.4","1.5","0.7","0.7","0","0.01","0.01","0","0",10.3480372480873
"313",13,"1.4","1.5","0.7","0.7","0","0.01","0.01","0","0",9.59302854115786
"314",14,"1.4","1.5","0.7","0.7","0","0.01","0.01","0","0",9.85966548106672
"315",15,"1.4","1.5","0.7","0.7","0","0.01","0.01","0","0",9.37618711908656
"316",16,"1.4","1.5","0.7","0.7","0","0.01","0.01","0","0",11.2497142113951
"317",17,"1.4","1.5","0.7","0.7","0","0.01","0.01","0","0",9.59098507589175
"318",18,"1.4","1.5","0.7","0.7","0","0.01","0.01","0","0",10.202727745441
"319",19,"1.4","1.5","0.7","0.7","0","0.01","0.01","0","0",9.09153188975746
"320",20,"1.4","1.5","0.7","0.7","0","0.01","0.01","0","0",9.5995048698038
"321",21,"1.4","1.5","0.7","0.7","0","0.01","0.01","0","0",12.0579789632578
"322",22,"1.4","1.5","0.7","0.7","0","0.01","0.01","0","0",10.5402519636061
