"","SimNumber","beta","betap","gamma","gammap","vaxrate","ini_recovered","ini_infected","nu","mu","tdom"
"287",87,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.99278491646125
"288",88,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.13716013852517
"289",89,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.13856768070921
"290",90,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.5566713240665
"291",91,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.88436939306238
"292",92,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.90806209229895
"293",93,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.86703184068057
"294",94,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.65964178335268
"295",95,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.89691233785753
"296",96,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.73106008289019
"297",97,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.85316502883483
"298",98,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.81631698125788
"299",99,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.633121118592
"300",100,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.36129151243968
"301",1,"1.4","1.5","0.7","0.7","0","0.01","0.01","0","0",10.7360481854246
"302",2,"1.4","1.5","0.7","0.7","0","0.01","0.01","0","0",9.85928678694929
"303",3,"1.4","1.5","0.7","0.7","0","0.01","0.01","0","0",9.76026738462005
"304",4,"1.4","1.5","0.7","0.7","0","0.01","0.01","0","0",10.4949736562007
"305",5,"1.4","1.5","0.7","0.7","0","0.01","0.01","0","0",11.8865151683298
"306",6,"1.4","1.5","0.7","0.7","0","0.01","0.01","0","0",11.2079540099937
"307",7,"1.4","1.5","0.7","0.7","0","0.01","0.01","0","0",8.91473262048209
"308",8,"1.4","1.5","0.7","0.7","0","0.01","0.01","0","0",10.4784779487452
"309",9,"1.4","1.5","0.7","0.7","0","0.01","0.01","0","0",9.83229284472714
"310",10,"1.4","1.5","0.7","0.7","0","0.01","0.01","0","0",9.73174487830665
"311",11,"1.4","1.5","0.7","0.7","0","0.01","0.01","0","0",10.7288132541935
