"","contrast","nu","betap","beta","estimate","SE","df","lower.CL","upper.CL"
"174","vaxrate0.5 - vaxrate0.75","0.25","1.5","2.1",0.866926587012432,0.121926913502492,1296,0.544757354217384,1.18909581980748
"175","vaxrate0 - vaxrate0.25","0.5","1.5","2.1",0.56045758599756,0.121926913502492,1296,0.238288353202513,0.882626818792608
"176","vaxrate0 - vaxrate0.5","0.5","1.5","2.1",1.09372749352812,0.121926913502492,1296,0.771558260733074,1.41589672632317
"177","vaxrate0 - vaxrate0.75","0.5","1.5","2.1",1.7478604004666,0.121926913502493,1296,1.42569116767155,2.07002963326165
"178","vaxrate0.25 - vaxrate0.5","0.5","1.5","2.1",0.53326990753056,0.121926913502492,1296,0.211100674735513,0.855439140325608
"179","vaxrate0.25 - vaxrate0.75","0.5","1.5","2.1",1.18740281446904,0.121926913502492,1296,0.865233581673994,1.50957204726409
"180","vaxrate0.5 - vaxrate0.75","0.5","1.5","2.1",0.654132906938481,0.121926913502491,1296,0.331963674143436,0.976302139733526
"181","vaxrate0 - vaxrate0.25","0","1.75","2.1",1.69095629045201,0.121926913502492,1296,1.36878705765696,2.01312552324705
"182","vaxrate0 - vaxrate0.5","0","1.75","2.1",3.19010993836222,0.121926913502492,1296,2.86794070556717,3.51227917115727
"183","vaxrate0 - vaxrate0.75","0","1.75","2.1",4.39436122828652,0.121926913502492,1296,4.07219199549147,4.71653046108156
"184","vaxrate0.25 - vaxrate0.5","0","1.75","2.1",1.49915364791022,0.121926913502492,1296,1.17698441511517,1.82132288070526
"185","vaxrate0.25 - vaxrate0.75","0","1.75","2.1",2.70340493783451,0.121926913502492,1296,2.38123570503946,3.02557417062956
"186","vaxrate0.5 - vaxrate0.75","0","1.75","2.1",1.20425128992429,0.121926913502492,1296,0.882082057129245,1.52642052271934
"187","vaxrate0 - vaxrate0.25","0.25","1.75","2.1",0.68184547897385,0.121926913502492,1296,0.359676246178802,1.0040147117689
"188","vaxrate0 - vaxrate0.5","0.25","1.75","2.1",1.44934177895015,0.121926913502492,1296,1.1271725461551,1.7715110117452
"189","vaxrate0 - vaxrate0.75","0.25","1.75","2.1",2.23623691442724,0.121926913502492,1296,1.91406768163219,2.55840614722229
"190","vaxrate0.25 - vaxrate0.5","0.25","1.75","2.1",0.767496299976302,0.121926913502492,1296,0.445327067181254,1.08966553277135
"191","vaxrate0.25 - vaxrate0.75","0.25","1.75","2.1",1.55439143545339,0.121926913502492,1296,1.23222220265835,1.87656066824844
"192","vaxrate0.5 - vaxrate0.75","0.25","1.75","2.1",0.78689513547709,0.121926913502492,1296,0.464725902682042,1.10906436827214
"193","vaxrate0 - vaxrate0.25","0.5","1.75","2.1",0.501596871613948,0.121926913502492,1296,0.179427638818901,0.823766104408994
"194","vaxrate0 - vaxrate0.5","0.5","1.75","2.1",1.10331760586038,0.121926913502492,1296,0.781148373065336,1.42548683865543
"195","vaxrate0 - vaxrate0.75","0.5","1.75","2.1",1.66464546083089,0.121926913502491,1296,1.34247622803585,1.98681469362594
