"","areaType","areaName","areaCode","date","variant","cumWeeklySequenced","newWeeklyPercentage"
"303","nation","England","E92000001","2021-08-08","V-21APR-02 (Delta B.1.617.2)",618552,96.22
"304","nation","England","E92000001","2021-08-08","V-21OCT-01 (Delta AY 4.2)",618552,2
"305","nation","England","E92000001","2021-08-08","V-22DEC-01 (Omicron CH.1.1)",0,0
"306","nation","England","E92000001","2021-08-08","V-22JUL-01 (Omicron BA.2.75)",0,0
"307","nation","England","E92000001","2021-08-08","V-22OCT-01 (Omicron BQ.1)",0,0
"308","nation","England","E92000001","2021-08-08","VOC-21NOV-01 (Omicron BA.1)",0,0
"309","nation","England","E92000001","2021-08-08","VOC-22APR-03 (Omicron BA.4)",0,0
"310","nation","England","E92000001","2021-08-08","VOC-22APR-04 (Omicron BA.5)",0,0
"311","nation","England","E92000001","2021-08-08","VOC-22JAN-01 (Omicron BA.2)",0,0
"312","nation","England","E92000001","2021-08-08","unclassified_variant",0,0
"313","nation","England","E92000001","2021-08-15","Other",649737,0.2
"314","nation","England","E92000001","2021-08-15","V-20DEC-01 (Alpha)",649737,0.01
"315","nation","England","E92000001","2021-08-15","V-21APR-02 (Delta B.1.617.2)",649737,97.43
"316","nation","England","E92000001","2021-08-15","V-21OCT-01 (Delta AY 4.2)",649737,2.36
"317","nation","England","E92000001","2021-08-15","V-22DEC-01 (Omicron CH.1.1)",0,0
"318","nation","England","E92000001","2021-08-15","V-22JUL-01 (Omicron BA.2.75)",0,0
